Timestamp,Quantité consommée (mW),Prix
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2179,403115
2024-03-03 08:46:54,2162,399970
2024-03-03 08:46:54,2178,402930
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2180,403300
2024-03-03 08:46:54,2161,399785
2024-03-03 08:46:54,2178,402930
2024-03-03 08:46:54,2161,399785
2024-03-03 08:46:54,2176,402560
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2178,402930
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2179,403115
2024-03-03 08:46:54,2161,399785
2024-03-03 08:46:54,2175,402375
2024-03-03 08:46:54,2183,403855
2024-03-03 08:46:54,2163,400155
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2178,402930
2024-03-03 08:46:54,2161,399785
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2159,399415
2024-03-03 08:46:54,2177,402745
2024-03-03 08:46:54,2158,399230
2024-03-03 08:46:54,2175,402375
2024-03-03 08:46:55,2185,404225
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2161,399785
2024-03-03 08:46:55,2173,402005
2024-03-03 08:46:55,2183,403855
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2178,402930
2024-03-03 08:46:55,2160,399600
2024-03-03 08:46:55,2174,402190
2024-03-03 08:46:55,2185,404225
2024-03-03 08:46:55,2164,400340
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2162,399970
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2158,399230
2024-03-03 08:46:55,2174,402190
2024-03-03 08:46:55,2183,403855
2024-03-03 08:46:55,2164,400340
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2160,399600
2024-03-03 08:46:55,2175,402375
2024-03-03 08:46:55,2191,405335
2024-03-03 08:46:55,2169,401265
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2162,399970
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2159,399415
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2157,399045
2024-03-03 08:46:55,2175,402375
2024-03-03 08:46:55,2185,404225
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2179,403115
2024-03-03 08:46:55,2163,400155
2024-03-03 08:46:55,2178,402930
2024-03-03 08:46:55,2159,399415
2024-03-03 08:46:55,2178,402930
2024-03-03 08:46:55,2159,399415
2024-03-03 08:46:55,2177,402745
2024-03-03 08:46:55,2159,399415
